2026-06-23 23:01:41 | INFO     | __main__:setup_logging:27 | 日志系统初始化完成
2026-06-23 23:01:41 | INFO     | __main__:main:179 | LocalMind Agent 启动中...
2026-06-23 23:01:44 | INFO     | __main__:check_ollama:51 | Ollama 运行中，18 个模型
2026-06-23 23:01:44 | INFO     | __main__:init_data:87 | 初始化数据目录
2026-06-23 23:01:44 | INFO     | __main__:init_data:106 | 数据目录就绪，5 个模式
2026-06-23 23:01:44 | INFO     | __main__:check_models:111 | 检查 AI 模型
2026-06-23 23:01:46 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:3b-instruct
2026-06-23 23:01:46 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:7b-instruct
2026-06-23 23:01:46 | INFO     | __main__:check_models:132 | 胸片模型就绪: tools/xray/xray_models/best_classifier.enc (125.4 MB)
2026-06-23 23:01:46 | INFO     | __main__:start_server:167 | 启动服务: 0.0.0.0:8765
2026-06-23 23:01:46 | INFO     | __main__:start_server:168 | 鉴权状态: 🔓 未启用
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 403 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | GET /settings → 200 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | OPTIONS /email/drafts → 200 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | OPTIONS /email/sent → 200 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations → 200 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | GET /email/drafts → 200 (0.00s)
2026-06-23 23:02:19 | INFO     | server.app:log_requests:68 | GET /email/sent → 200 (0.00s)
2026-06-23 23:02:20 | INFO     | tools.rag.engine:__init__:45 | RAG 引擎初始化完成: embed=bge-m3, chunk=500
2026-06-23 23:02:20 | INFO     | tools.system.tool:on_mount:47 | RememberTool 已挂载 agent
2026-06-23 23:02:20 | INFO     | agent.core:__init__:84 | 已加载用户设置覆盖
2026-06-23 23:02:20 | INFO     | agent.core:_apply_mode_tools:124 | 模式 [normal] 启用工具: ['vision_describe', 'xray_diagnose', 'rag_search', 'web_search', 'execute_code', 'calculate', 'get_current_time', 'remember', 'recall', 'send_email', 'get_weather', 'translate', 'summarize_url']
2026-06-23 23:02:20 | INFO     | agent.core:__init__:93 | LocalMindAgent 初始化完成, 模式: normal, 模型: qwen2.5:3b-instruct
2026-06-23 23:02:20 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.02s)
2026-06-23 23:02:22 | INFO     | server.app:log_requests:68 | OPTIONS /chat/mode/switch → 200 (0.00s)
2026-06-23 23:02:22 | INFO     | agent.core:_apply_mode_tools:124 | 模式 [agent] 启用工具: ['web_search', 'execute_code', 'calculate', 'get_current_time', 'get_weather', 'translate', 'summarize_url']
