2026-06-18 22:42:52 | INFO     | __main__:setup_logging:27 | 日志系统初始化完成
2026-06-18 22:42:52 | INFO     | __main__:main:179 | LocalMind Agent 启动中...
2026-06-18 22:42:54 | INFO     | __main__:check_ollama:51 | Ollama 运行中，16 个模型
2026-06-18 22:42:54 | INFO     | __main__:init_data:87 | 初始化数据目录
2026-06-18 22:42:54 | INFO     | __main__:init_data:106 | 数据目录就绪，5 个模式
2026-06-18 22:42:54 | INFO     | __main__:check_models:111 | 检查 AI 模型
2026-06-18 22:42:56 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:3b-instruct
2026-06-18 22:42:56 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:7b-instruct
2026-06-18 22:42:56 | INFO     | __main__:check_models:132 | 胸片模型就绪: tools/xray/xray_models/best_classifier.enc (125.4 MB)
2026-06-18 22:42:56 | INFO     | __main__:start_server:167 | 启动服务: 0.0.0.0:8765
2026-06-18 22:42:56 | INFO     | __main__:start_server:168 | 鉴权状态: 🔓 未启用
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 403 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | GET /settings → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | OPTIONS /email/drafts → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | OPTIONS /email/sent → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | GET /email/drafts → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | GET /email/sent → 200 (0.00s)
2026-06-18 22:43:05 | INFO     | tools.rag.engine:__init__:45 | RAG 引擎初始化完成: embed=bge-m3, chunk=500
2026-06-18 22:43:05 | INFO     | tools.system.tool:on_mount:47 | RememberTool 已挂载 agent
2026-06-18 22:43:05 | INFO     | agent.core:__init__:75 | 已加载用户设置覆盖
2026-06-18 22:43:05 | INFO     | agent.core:_apply_mode_tools:115 | 模式 [normal] 启用工具: ['vision_describe', 'xray_diagnose', 'rag_search', 'web_search', 'execute_code', 'calculate', 'get_current_time', 'remember', 'recall', 'send_email']
2026-06-18 22:43:05 | INFO     | agent.core:__init__:84 | LocalMindAgent 初始化完成, 模式: normal, 模型: qwen2.5:3b-instruct
2026-06-18 22:43:05 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.01s)
2026-06-18 22:43:24 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations/new → 200 (0.00s)
2026-06-18 22:43:24 | INFO     | server.app:log_requests:68 | POST /chat/conversations/new → 200 (0.00s)
2026-06-18 22:43:24 | INFO     | server.app:log_requests:68 | OPTIONS /chat → 200 (0.00s)
2026-06-18 22:43:24 | INFO     | server.routes.chat:chat:43 | [队列] 收到请求: 写一篇1000字关于春天的作文 (等待中: 0)
2026-06-18 22:43:24 | INFO     | server.routes.chat:chat:53 | 切换模型: qwen2.5:3b-instruct, 模式: normal
2026-06-18 22:43:24 | INFO     | server.routes.chat:event_stream:79 | [队列] 开始处理: 写一篇1000字关于春天的作文, 模式: normal
2026-06-18 22:43:24 | INFO     | server.app:log_requests:68 | POST /chat → 200 (0.01s)
2026-06-18 22:43:35 | ERROR    | llm.client:chat:61 | LLM 调用失败: Server error '500 Internal Server Error' for url 'http://localhost:11434/api/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500
