2026-06-10 00:10:20 | INFO     | __main__:setup_logging:27 | 日志系统初始化完成
2026-06-10 00:10:20 | INFO     | __main__:main:176 | LocalMind Agent 启动中...
2026-06-10 00:10:22 | INFO     | __main__:check_ollama:51 | Ollama 运行中，16 个模型
2026-06-10 00:10:22 | INFO     | __main__:init_data:87 | 初始化数据目录
2026-06-10 00:10:22 | INFO     | __main__:init_data:103 | 数据目录就绪，7 个模式
2026-06-10 00:10:22 | INFO     | __main__:check_models:108 | 检查 AI 模型
2026-06-10 00:10:24 | INFO     | __main__:check_models:116 | Ollama 模型就绪: qwen2.5:3b-instruct
2026-06-10 00:10:24 | INFO     | __main__:check_models:116 | Ollama 模型就绪: qwen2.5:7b-instruct
2026-06-10 00:10:24 | INFO     | __main__:check_models:129 | 胸片模型就绪: tools/xray/xray_models/best_classifier.pth (94.0 MB)
2026-06-10 00:10:24 | INFO     | __main__:start_server:164 | 启动服务: 0.0.0.0:8765
2026-06-10 00:10:24 | INFO     | __main__:start_server:165 | 鉴权状态: 🔓 未启用
2026-06-10 00:10:50 | INFO     | __main__:setup_logging:27 | 日志系统初始化完成
2026-06-10 00:10:50 | INFO     | __main__:main:176 | LocalMind Agent 启动中...
2026-06-10 00:10:52 | INFO     | __main__:check_ollama:51 | Ollama 运行中，16 个模型
2026-06-10 00:10:52 | INFO     | __main__:init_data:87 | 初始化数据目录
2026-06-10 00:10:52 | INFO     | __main__:init_data:103 | 数据目录就绪，7 个模式
2026-06-10 00:10:52 | INFO     | __main__:check_models:108 | 检查 AI 模型
2026-06-10 00:10:54 | INFO     | __main__:check_models:116 | Ollama 模型就绪: qwen2.5:3b-instruct
2026-06-10 00:10:54 | INFO     | __main__:check_models:116 | Ollama 模型就绪: qwen2.5:7b-instruct
2026-06-10 00:10:54 | INFO     | __main__:check_models:129 | 胸片模型就绪: tools/xray/xray_models/best_classifier.pth (94.0 MB)
2026-06-10 00:10:54 | INFO     | __main__:start_server:164 | 启动服务: 0.0.0.0:8765
2026-06-10 00:10:54 | INFO     | __main__:start_server:165 | 鉴权状态: 🔓 未启用
2026-06-10 00:10:58 | INFO     | tools.rag.evaluator:__init__:14 | RAG 评估器初始化完成
2026-06-10 00:10:58 | INFO     | tools.rag.engine:__init__:43 | RAG 引擎初始化完成: embed=bge-m3, chunk=500
2026-06-10 00:10:58 | INFO     | tools.system.tool:on_mount:106 | RememberTool 已挂载 agent
2026-06-10 00:10:58 | INFO     | agent.core:_apply_mode_tools:93 | 模式 [normal] 启用工具: ['vision_describe', 'xray_diagnose', 'rag_search', 'web_search', 'execute_code', 'calculate', 'read_file', 'write_file', 'list_files', 'get_current_time', 'remember', 'recall', 'send_email']
2026-06-10 00:10:58 | INFO     | agent.core:__init__:56 | LocalMindAgent 初始化完成, 模式: normal, 模型: qwen2.5:3b-instruct
2026-06-10 00:10:58 | INFO     | server.app:log_requests:48 | GET /chat/conversations → 200 (0.02s)
2026-06-10 00:11:04 | INFO     | agent.core:_apply_mode_tools:93 | 模式 [xray] 启用工具: ['xray_diagnose']
2026-06-10 00:11:04 | INFO     | agent.core:switch_mode:101 | 切换模式: xray → qwen2.5:3b-instruct
2026-06-10 00:11:04 | INFO     | server.app:log_requests:48 | POST /chat/conversations/new → 200 (0.00s)
2026-06-10 00:11:04 | INFO     | server.routes.chat:chat:36 | 📥 收到请求: message=, model=xray, conv_id=9ca7ed53-e8c1-4a2a-a9e9-c82b147e1ef4, files=1, skip_user=0
2026-06-10 00:11:04 | INFO     | server.routes.chat:chat:43 | 🔄 切换模型: qwen2.5:3b-instruct (key=xray)
2026-06-10 00:11:04 | INFO     | server.app:log_requests:48 | POST /chat → 200 (0.15s)
2026-06-10 00:11:04 | INFO     | agent.core:_step_xray_diagnose:413 | 快速规则: brightness=128.1, std=67.4, entropy=7.87, dark_corners=2, pass=True
2026-06-10 00:11:05 | INFO     | tools.xray.model:load:119 | 胸片模型已加载: cpu
2026-06-10 00:11:05 | INFO     | agent.core:_step_xray_diagnose:432 | 胸片诊断结果: ⚠️ 判定: 建议复查
理由: 多个低置信度异常叠加（总风险: 169.8%）
未见异常概率: 45.1%
Top3可疑疾病: 心脏肥大(72.6%), 主动脉迂曲(19.7%), 浸润(12.0%)
2026-06-10 00:11:05 | INFO     | agent.core:_step_xray_diagnose:457 | pth验证: no_finding=45.1%, max_disease=72.6%, pass=True
2026-06-10 00:11:12 | INFO     | server.app:log_requests:48 | GET /chat/conversations → 200 (0.00s)
2026-06-10 00:11:33 | INFO     | server.app:log_requests:48 | POST /chat/conversations/new → 200 (0.00s)
